alpha,cap,global_rmse,well_rmse_mean,well_rmse_median,well_rmse_p90,well_rmse_p95,well_rmse_max,group3_rmse_mean,group3_rmse_p90,group3_rmse_p95,group3_rmse_p99,group3_rmse_max
0.9,none,20.273707213267787,16.572540598851198,12.208771736101959,32.321152980153926,38.62118643795907,53.96511140242263,18.638146605507036,30.731822809050616,33.44160171628684,38.26300129759853,48.44370077693581
1.0,none,19.68102671921772,15.672869743580689,10.644203807856952,30.54235582193341,39.904026161214645,63.307639900547265,17.718831851721625,31.80767583903709,36.24655117718212,41.7120281779898,54.985712546456575
0.8,none,23.918643794264256,18.878890208882048,14.138887376875383,40.450367289532416,44.01240382404061,65.72033184215631,21.650893723795168,33.79476994154924,37.50836413531474,42.92282931965683,51.77038294124251
0.75,none,26.536105617695828,20.48200506274091,14.93594116312214,41.157163462378264,49.58751320571233,74.5535643443315,23.691860574956646,38.81992025201813,42.62186108912403,49.07638698869723,58.43245481934349
0.7,none,29.505554783554427,22.24892808601237,15.385913224365737,44.373779232691994,58.510318703270855,83.40752230171843,25.969207746474858,44.55333016091944,48.87117253240651,55.73157446666001,65.19712909297009
0.6,none,36.144874194754244,25.98653307427855,19.939426984110437,49.89788023268425,73.53931762672583,101.15583552046942,30.98010539325577,56.43086204420829,62.31017796702308,70.11368505012443,83.50599731331542
0.5,none,43.35578419732178,29.892426085926708,22.098616515776882,62.26085385374896,88.62621766188805,118.93791181722099,36.38617991735307,68.39042309399346,76.24871948617019,87.0147717722952,102.4770107240042
0.9,100.0,44.77902524930118,25.598673478829962,12.549111629065935,55.2645624409104,100.0520181514016,144.253662027458,33.204635539614415,72.5554230938032,89.06018566179867,107.73245208891596,126.10807565166527
1.0,100.0,44.84742119914945,25.58139296105191,12.344814448621635,57.56156691279775,100.12009398441684,144.13802528710875,33.25356894834507,72.5936918002826,89.067631364706,107.69915249929619,125.90490668615969
0.8,100.0,45.06789682448808,26.305257891466812,14.539666424707898,54.12996565718546,100.15047162873608,144.51109782658943,33.76630699029409,72.75524754184222,89.25617000963827,107.81360614676161,126.4839087807166
0.75,100.0,45.38238890335425,26.904644502580012,15.27976439385527,53.69992675510008,100.30293998629668,144.7234813664309,34.29089497041148,73.00496650933873,89.42453040621429,108.0847738869813,126.77018527772985
0.7,100.0,45.83491431389032,27.63501058706818,17.23422458672522,53.83597683921188,100.57052276761253,145.0179556348639,34.982730581856366,73.49077414196964,89.73197331226422,108.25768844893011,127.15279317948597
0.4,none,50.89591379979052,33.94732925958639,23.06854068836888,71.73035781197035,104.8955846199154,136.74057992893654,42.061862697063646,80.08122674827936,90.32215894157467,104.26370581755916,122.89649783868173
0.6,100.0,47.263331264380724,29.43673929299947,19.939426984110437,55.82863294253181,101.78942576887934,145.9608500614763,36.8936801212408,74.69124840297307,90.66953840769608,109.21875629225602,128.37549527933308
0.5,100.0,49.608865594891796,31.721904353295603,22.098616515776882,62.422183710576554,103.95517146029115,147.64679802159,39.58181253468461,77.17185307973054,92.67210488537188,111.14292920860312,130.6909300615777
0.4,100.0,53.212102673772996,34.56788235379432,23.06854068836888,71.73035781197035,108.20354885071863,151.0737717648273,43.17041713797129,82.17757508453488,96.8172506752999,114.72247987863503,135.37027435141738
